coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
2435588,"Loran C. Anderson",1976-11,"vel aff.","Chrysothamnus nauseosus var. albicaulis",1,"J. T. Howell",Chrysothamnus,nauseosus,var.,albicaulis,,,urn:uuid:cd35e47f-8070-46a2-8c35-decf38520c72,"2023-04-11 23:53:42"
2404897,"C. W. Sharsmith",1947,,"Chaenactis alpigena",1,"C.W. Sharsmith",Chaenactis,alpigena,,,,,urn:uuid:54f34df8-e567-4dbf-b1b2-72df72138575,"2023-04-11 23:53:42"
2329890,"David D. Keck",1938,"vel aff.","Horkelia scandularis",1,Rydb.,Horkelia,scandularis,,,,,urn:uuid:fc510abf-0b73-4157-8429-6329a984448d,"2023-04-11 23:53:42"
2437667,"W. R. Dudley",s.d.,,"Phacelia peirsoniana",1,"J.T. Howell",Phacelia,peirsoniana,,,,,urn:uuid:0a9ca3db-8294-4001-a0ac-9f515294c5b7,"2023-04-11 23:53:42"
2414627,"W. R. Dudley",s.d.,,"Phacelia peirsoniana",1,"J.T. Howell",Phacelia,peirsoniana,,,,,urn:uuid:f9a59981-b055-4d0a-9e45-1ec4bb14341e,"2023-04-11 23:53:42"
2399269,"Ihsan A. Al-Shehbaz",2007-12,"vel aff.","Draba subsessilis",1,"S. Watson",Draba,subsessilis,,,,,urn:uuid:406481b6-5316-468c-86b8-3fdf94d680c1,"2023-04-11 23:53:42"
5503784,unknown,s.d.,,"Erythranthe howaldiae",1,"G.L. Nesom",Erythranthe,howaldiae,,,,,urn:uuid:e1c46be6-40e8-4608-acb7-bead39a88aa8,"2023-04-11 23:53:42"
2387242,"Barbara Ertter",1991,,"Potentilla morefieldii",1,"Ertter, nom. inq.",Potentilla,morefieldii,,,,,urn:uuid:902cfc13-d334-4ed6-85c9-549504c14f99,"2023-04-11 23:53:42"
2320946,"David D. Keck",1938,,"Ivesia shockleyi",1,"S. Watson",Ivesia,shockleyi,,,,,urn:uuid:3f5cada0-3072-415a-888e-28aef95e0947,"2023-04-11 23:53:42"
2384692,"Alice Eastwood",s.d.,,"Lupinus duranii",1,Eastw.,Lupinus,duranii,,,,,urn:uuid:8bfe674d-3b7b-4f4a-a7dc-5fb9a151e369,"2023-04-11 23:53:42"
2387255,"Ihsan A. Al-Shehbaz",2007-12,,"Streptanthus oliganthus",1,Rollins,Streptanthus,oliganthus,,,,,urn:uuid:b2fd6098-e093-436f-be8e-8934504462fa,"2023-04-11 23:53:42"
2340934,unknown,s.d.,,"Draba quadricostata",1,Rollins,Draba,quadricostata,,,,,urn:uuid:26b3d602-3661-40bc-b245-4a5031a3d917,"2023-04-11 23:53:42"
2424942,"N. Duane Atwood",1998,,"Phacelia peirsoniana",1,"J.T. Howell",Phacelia,peirsoniana,,,,,urn:uuid:59875712-f20a-41d8-9f25-443ad047fbf6,"2023-04-11 23:53:42"
2398834,"Edgar Theodore Wherry",1940,"vel aff.","Phlox covillei",1,"E.E. Nelson",Phlox,covillei,,,,,urn:uuid:b13f0d67-a6aa-4eae-9957-82ea4f8af6bf,"2023-04-11 23:53:42"
2618262,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:57682681-6a39-4c65-b18f-9287463787d1,"2023-04-11 23:53:42"
2402227,"M. Windham & I. Al-Shehbaz",s.d.,"vel aff.","Arabis bodiensis",1,Rollins,Arabis,bodiensis,,,,,urn:uuid:8d6ab05c-f5d5-455a-ad74-2a89e9b8fc8b,"2023-04-11 23:53:42"
2365123,"F. G. Meyer",1949,"vel aff.","Valeriana whiltonae californica",1,Eastw.,,,,,,,urn:uuid:aa7fdaa4-6f2f-4926-8319-1d1b432e506b,"2023-04-11 23:53:42"
2413774,unknown,s.d.,,"Streptanthus oliganthus",1,Rollins,Streptanthus,oliganthus,,,,,urn:uuid:92491429-0a30-450f-8498-4e3cdd4475b7,"2023-04-11 23:53:42"
1459456,"Leroy Gross",2023,,"Nemacladus morefieldii",1,"Morin & T.J. Ayers",,,,,,,urn:uuid:41fc97dc-8f28-441a-800a-5ed6c3d0b90b,"2023-04-11 23:53:42"
1617522,"A.C. Sanders",2008,,"Stipa nevadensis",1,"B.L. Johnson",,,,,,,urn:uuid:19fbf709-1200-4446-8e69-b0c3f72381ab,"2023-04-11 23:53:42"
1490582,,,,"Gayophytum diffusum subsp. parviflorum",1,"T. & G.",,,,,,,urn:uuid:42ea2d71-04f5-4af0-8464-76263d66f8df,"2023-04-11 23:53:42"
772871,"R. E. Timme",2001,,"Polemonium chartaceum",1,Mason,Polemonium,chartaceum,,,,,urn:uuid:3f8e99f2-b4d4-456a-a6ce-ac43e5d4947c,"2023-04-11 23:53:42"
791824,unknown,s.d.,,"Heuchera duranii",1,Bacig.,Heuchera,duranii,,,,,urn:uuid:7dcf0e03-d630-4ee2-8cc3-9729b752e7da,"2023-04-11 23:53:42"
1228560,unknown,s.d.,,"Lupinus duranii",1,Eastw.,Lupinus,duranii,,,,,urn:uuid:d3b80bad-0d50-415b-8bcc-f7ab2093becc,"2023-04-11 23:53:42"
784406,unknown,s.d.,,"Lupinus duranii",1,Eastw.,Lupinus,duranii,,,,,urn:uuid:74f715b3-702a-4eed-97d7-c1da2926e41d,"2023-04-11 23:53:42"
971299,unknown,s.d.,,"Carex tiogana",1,"D. Taylor & J. Mastrogiuseppe",Carex,tiogana,,,,,urn:uuid:31923548-9ccf-49a2-8704-2c28d3a0225e,"2023-04-11 23:53:42"
1093936,"Noel Holmgren",2001-12-21,,"Mentzelia inyoensis",1,Prigge,Mentzelia,inyoensis,,,,,urn:uuid:f579091f-c3a2-478b-b9f8-4dfc20ee2692,"2023-04-11 23:53:42"
920116,"A. C. Sanders",s.d.,,"Monardella linoides subsp. sierrae",1,Gray,Monardella,linoides,subsp.,sierrae,,"[Other determiner/s]: M. A. Elvin",urn:uuid:98364de7-f65d-4bed-be8f-d904fad71370,"2023-04-11 23:53:42"
1016133,"R. C. Barneby",1949,,"Astragalus tegetarius var. danaus",1,Barneby,Astragalus,tegetarius,var.,danaus,,,urn:uuid:2e0b0d36-d8ad-432c-a796-ef422895df0c,"2023-04-11 23:53:42"
760145,"David B. Dunn",1956,,"Lupinus duranii",1,Eastw.,Lupinus,duranii,,,,,urn:uuid:94286ec2-a638-4ade-a24a-873dd3b2dbfd,"2023-04-11 23:53:42"
720729,"Ihsan A. Al-Shehbaz",2007-12,,"Draba oligosperma",1,Hook.,Draba,oligosperma,,,,,urn:uuid:ad8c5dc6-f4be-4a55-b27f-9d05bc06b5c8,"2023-04-11 23:53:42"
944481,unknown,s.d.,,"Astragalus monoensis",1,Barneby,Astragalus,monoensis,,,,,urn:uuid:09372f73-dacb-495b-9c79-a35be4054ebb,"2023-04-11 23:53:42"
993127,"M. Nazaire","28 March 2023",,"Astragalus monoensis",1,Barneby,,,,,,,urn:uuid:51ef5916-b01d-48dc-84b5-61981b6d6dae,"2023-03-28 17:40:13"
993127,"Alice Eastwood",s.d.,,"Astragalus platytropis",0,"A. Gray",,,,,,,urn:uuid:f02dc430-841b-41dc-8862-84d3149875df,"2023-03-28 17:40:13"
1088871,unknown,s.d.,,"Astragalus monoensis",1,Barneby,Astragalus,monoensis,,,,,urn:uuid:463c20b3-6dab-467f-b164-3012de804de4,"2023-04-11 23:53:42"
734341,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:a01bfdad-892c-432d-8f5d-d1e19f8b5abe,"2023-04-11 23:53:42"
1088394,unknown,s.d.,,"Mimulus wolfii",1,Eastw.,Mimulus,wolfii,,,,,urn:uuid:cfed696c-e0dc-49d8-90e5-4f283e3a6614,"2023-04-11 23:53:42"
1035927,"David B. Dunn",1956,,"Lupinus duranii",1,Eastw.,Lupinus,duranii,,,,,urn:uuid:f4132c40-0847-49b0-bdf9-98d919021dda,"2023-04-11 23:53:42"
655003,unknown,s.d.,,"Monardella odoratissima",1,Benth.,Monardella,odoratissima,,,,,urn:uuid:4655ccd0-cbb3-4b89-8ce6-f9929b32a341,"2023-04-11 23:53:42"
1236124,unknown,s.d.,,"Chaenactis alpigena",1,Sharsm.,Chaenactis,alpigena,,,,,urn:uuid:60fe32d3-bafb-418d-bcec-92741e6280b5,"2023-04-11 23:53:42"
1086880,unknown,s.d.,,"Astragalus johannis-howellii",1,Barneby,Astragalus,johannis-howellii,,,,,urn:uuid:562468c1-03d3-47b1-bc73-ebe11a722390,"2023-04-11 23:53:42"
1114786,"A. C. Sanders",2008,,"Achnatherum nevadense",1,"(B.L. Johnston) Barkworth",Achnatherum,nevadense,,,,,urn:uuid:7cf8d022-6feb-4c05-90c2-941f5e96d9d3,"2023-04-11 23:53:42"
1161124,unknown,s.d.,,"Phacelia peirsoniana",1,"J.T. Howell",Phacelia,peirsoniana,,,,,urn:uuid:5879f4a0-5a17-4e75-a1cd-cf1c682514c2,"2023-04-11 23:53:42"
1113523,"A. C. Sanders",s.d.,,"Monardella linoides subsp. sierrae",1,Gray,Monardella,linoides,subsp.,sierrae,,"[Other determiner/s]: M. A. Elvin",urn:uuid:0810c425-8a36-4ddf-a4ea-f6c2cb1eee66,"2023-04-11 23:53:42"
656057,unknown,s.d.,,"Phacelia monoensis",1,Halse,Phacelia,monoensis,,,,,urn:uuid:99d95710-1f0c-4054-9789-fdfbcfaacef7,"2023-04-11 23:53:42"
967867,unknown,s.d.,,"Monardella linoides subsp. sierrae",1,Gray,Monardella,linoides,subsp.,sierrae,,,urn:uuid:79d1c5c2-bed7-4c60-970c-bb939d00b797,"2023-04-11 23:53:42"
999631,unknown,s.d.,,"Heuchera duranii",1,Bacig.,Heuchera,duranii,,,,,urn:uuid:08b8f0e6-851c-47b1-abf8-e2bf4dbb615a,"2023-04-11 23:53:42"
1153241,unknown,s.d.,,"Phacelia monoensis",1,Halse,Phacelia,monoensis,,,,,urn:uuid:53ca0484-efd6-4746-9fe2-4829e7cba131,"2023-04-11 23:53:42"
1003226,"Ihsan A. Al-Shehbaz",2007,,"Draba incrassata",1,"(Rollins) Rollins & Price",Draba,incrassata,,,,,urn:uuid:8c97568a-2dcf-4b03-969b-3ed0e8f82de6,"2023-04-11 23:53:42"
786907,unknown,s.d.,,"Myosurus minimus subsp. montanus",1,"G.R. Campb.",Myosurus,minimus,subsp.,montanus,,,urn:uuid:81f3298f-e38c-49a0-9532-7668238337d4,"2023-04-11 23:53:42"
754920,"Nuri Benet-Pierce",2011-03,,"Chenopodium hians",0,Standl.,,,,,,,urn:uuid:e715688a-ed9d-4596-af33-569d6df8cb22,"2022-09-14 13:40:49"
754920,"LeRoy Gross","Sept. 2022",,"Chenopodium luteum",1,Benet-Pierce,,,,,,,urn:uuid:25ee2a59-dab5-49e5-bb36-95c92055ac15,"2022-09-14 13:40:49"
987127,unknown,s.d.,,"Cordylanthus ramosus subsp. setosus",1,Pennell,Cordylanthus,ramosus,subsp.,setosus,,,urn:uuid:f203daad-d95a-43d6-926a-0e4162a3b516,"2023-04-11 23:53:42"
725497,unknown,s.d.,,"Potentilla morefieldii",1,Ertter,Potentilla,morefieldii,,,,,urn:uuid:2079e20f-7339-452b-90da-f999d74f4093,"2023-04-11 23:53:42"
960508,unknown,s.d.,,"Astragalus monoensis",1,Barneby,Astragalus,monoensis,,,,,urn:uuid:351cb5de-c463-4ea5-85ca-49b1652eebed,"2023-04-11 23:53:42"
991487,unknown,s.d.,,"Mirabilis californica var. villosa",1,Kellogg,Mirabilis,californica,var.,villosa,,,urn:uuid:56a6e71a-9c21-46ee-ba79-c8c755c153f5,"2023-04-11 23:53:42"
6193416,unknown,s.d.,,"Carex tiogana",1,"D. W. Taylor & J. D. Mastrog.",,,,,"Mastrogiuseppe, Joy D., and Dean William Taylor. 1999. ?Carex Tiogana (Cyperaceae), a New Sedge from the Sierra Nevada, California.? Novon a Journal of Botanical Nomenclature from the Missouri Botanical Garden 9: 120--123.",,urn:uuid:cf25a35b-db87-4616-ac50-b28769d17e07,"2025-01-07 18:14:21"
3680549,unknown,s.d.,,"Purshia tridentata",1,"(Pursh) DC.",Purshia,tridentata,,,,,urn:uuid:4bda46eb-fd8c-4f41-a0c6-c98e5cc1a8f9,"2023-04-11 23:53:42"
428224,unknown,"A. C. Sanders, 2008",,"Stipa nevadensis",1,"B.L. Johnson",,,,,,,urn:uuid:1acffcba-5128-4c34-945d-11a438c93a2b,"2023-04-11 23:53:42"
2132569,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:7ab0abea-39e1-42be-a0f8-a1b77208b362,"2023-04-11 23:53:42"
3530243,unknown,s.d.,,"Boechera bodiensis",1,"(Rollins) Al-Shehbaz",Boechera,bodiensis,,,,,urn:uuid:00438ad2-f938-468d-90c2-b75a73fef25e,"2023-04-11 23:53:42"
3152652,unknown,s.d.,,"Erigeron pygmaeus",1,"(A. Gray) Greene",Erigeron,pygmaeus,,,,,urn:uuid:58f741d9-e814-4aa8-8274-c669a8a64377,"2023-04-11 23:53:42"
3363340,unknown,s.d.,,"Carex tiogana",1,"D. W. Taylor & J. D. Mastrog.",Carex,tiogana,,,,,urn:uuid:b8d9213e-d3fb-4e9c-ba1d-cabf7fae8518,"2023-04-11 23:53:42"
3223315,unknown,s.d.,,"Dieteria canescens var. canescens",1,,Dieteria,canescens,var.,canescens,,,urn:uuid:acf5d1ab-1deb-4730-9ee1-dee843d1c06e,"2023-04-11 23:53:42"
3261715,unknown,s.d.,,"Phacelia peirsoniana",1,"J. T. Howell",Phacelia,peirsoniana,,,,,urn:uuid:a8786957-a99f-4c4e-8e9e-e9d4040c2e18,"2023-04-11 23:53:42"
3267604,unknown,s.d.,,"Draba oligosperma var. subsessilis",1,"(S. Watson) O. E. Schulz",Draba,oligosperma,var.,subsessilis,,,urn:uuid:e137199e-e9a9-4cc9-bea1-1a9f1b260245,"2023-04-11 23:53:42"
3544859,unknown,s.d.,,"Polemonium chartaceum",1,"H. Mason",Polemonium,chartaceum,,,,,urn:uuid:74ea4e17-baea-4c94-9fee-4d1ac80e27c7,"2023-04-11 23:53:42"
3547941,unknown,s.d.,,"Horkelia hispidula",1,Rydb.,Horkelia,hispidula,,,,,urn:uuid:a21c6cb8-3c59-46bc-9aa2-0ab865b704bc,"2023-04-11 23:53:42"
3149099,unknown,s.d.,,"Erigeron pygmaeus",1,"(A. Gray) Greene",Erigeron,pygmaeus,,,,,urn:uuid:c259e7c1-5b6a-4814-9d1b-a712fcc475ea,"2023-04-11 23:53:42"
3445035,unknown,s.d.,,"Streptanthus oliganthus",1,Rollins,Streptanthus,oliganthus,,,,,urn:uuid:147a0510-a610-4841-8e09-21299e594206,"2023-04-11 23:53:42"
3374380,unknown,s.d.,,"Crepis runcinata subsp. hallii",1,"Babc. & Stebbins",Crepis,runcinata,subsp.,hallii,,,urn:uuid:6b203356-14b0-4af4-902a-7e4eba2c17d7,"2023-04-11 23:53:42"
3400239,unknown,s.d.,,"Potentilla pseudosericea",1,Rydb.,Potentilla,pseudosericea,,,,,urn:uuid:5ee601be-3180-4d90-94ac-7cf3c1c6eaef,"2023-04-11 23:53:42"
3530326,unknown,s.d.,,"Phacelia monoensis",1,Halse,Phacelia,monoensis,,,,,urn:uuid:603ad5ff-0511-4291-9291-89077b373dc5,"2023-04-11 23:53:42"
3216216,unknown,s.d.,,"Trifolium andersonii var. beatleyae",1,"(J. M. Gillett) Isely",Trifolium,andersonii,var.,beatleyae,,,urn:uuid:06cfad7c-e109-47ae-8546-55e88d787033,"2023-04-11 23:53:42"
