coreid,identifiedBy,dateIdentified,identificationQualifier,scientificName,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordID,modified
3403867,unknown,s.d.,,"Draba oligosperma var. oligosperma",1,,Draba,oligosperma,var.,oligosperma,,,urn:uuid:7789539f-5efe-4900-aa97-1b61cf5fcf2b,"2023-04-11 23:53:42"
3672416,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,"P. F. Zika (original label determination). Isotype",urn:uuid:66722fbb-5774-4aec-a672-9f8fe5cdef55,"2023-04-11 23:53:42"
3370085,unknown,s.d.,,"Ericameria discoidea",1,"(Nutt.) G. L. Nesom",Ericameria,discoidea,,,,,urn:uuid:2de7dce8-1328-4e45-8873-380d3fe44ebb,"2023-04-11 23:53:42"
3545449,unknown,s.d.,,"Chaenactis alpigena",1,Sharsm.,Chaenactis,alpigena,,,,,urn:uuid:5f197775-ae46-41e9-96f1-0dedea532954,"2023-04-11 23:53:42"
3200619,unknown,s.d.,,"Draba incrassata",1,"(Rollins) Rollins & R. A. Price",Draba,incrassata,,,,,urn:uuid:83f169d0-351c-471e-ae86-a02eb39c407c,"2023-04-11 23:53:42"
3350124,unknown,s.d.,,"Stipa bloomeri",1,Bol.,Stipa,bloomeri,,,,,urn:uuid:f0420b6e-eda8-4435-8381-97a31104a175,"2023-04-11 23:53:42"
3460212,unknown,s.d.,,"Elymus saundersii var. californicus",1,Hoover,Elymus,saundersii,var.,californicus,,,urn:uuid:7a79de84-0f8e-4f83-a5d0-ee7c7e109e01,"2023-04-11 23:53:42"
3215477,unknown,s.d.,,"Potentilla morefieldii",1,Ertter,Potentilla,morefieldii,,,,,urn:uuid:cbeb3419-7371-4b56-8fcb-5ee6042b0b43,"2023-04-11 23:53:42"
3468409,unknown,s.d.,,"Heuchera duranii",1,Bacig.,Heuchera,duranii,,,,,urn:uuid:1175f437-6e6a-4ace-b0dc-b5a9e001e3aa,"2023-04-11 23:53:42"
3517822,unknown,s.d.,,"Cusickiella quadricostata",1,"(Rollins) Rollins",Cusickiella,quadricostata,,,,,urn:uuid:fa905465-4120-4449-8e88-389c266b8377,"2023-04-11 23:53:42"
3520383,unknown,s.d.,,"Ivesia lycopodioides subsp. scandularis",1,"(Rydb.) D. D. Keck",Ivesia,lycopodioides,subsp.,scandularis,,,urn:uuid:61293a16-a73c-4775-a584-a135a60a6dac,"2023-04-11 23:53:42"
3569280,unknown,s.d.,,"Hackelia brevicula",1,"(Jeps.) J. L. Gentry",Hackelia,brevicula,,,,,urn:uuid:abf27ea0-0ea9-4a12-b831-22b30b3fb251,"2023-04-11 23:53:42"
3249797,unknown,s.d.,,"Boechera bodiensis",1,"(Rollins) Al-Shehbaz",Boechera,bodiensis,,,,,urn:uuid:fa332886-601d-4c79-82ef-86bcd4e00373,"2023-04-11 23:53:42"
3410569,unknown,s.d.,,"Radicula sinuata var. integra",1,Jeps.,,,,,,,urn:uuid:f0c19c06-d67d-47b8-a862-a22bb80523f9,"2023-04-11 23:53:42"
3252618,unknown,s.d.,,"Boechera bodiensis",1,"(Rollins) Al-Shehbaz",Boechera,bodiensis,,,,,urn:uuid:23fd8e90-8bb1-4d04-91b8-a0814d45ad93,"2023-04-11 23:53:42"
3569293,unknown,s.d.,,"Gymnosteris minuscula",1,Jeps.,,,,,,,urn:uuid:631dba85-9acf-46d4-8131-b96d13f55cdd,"2023-04-11 23:53:42"
3551121,unknown,s.d.,,"Draba subumbellata",1,"Rollins & R. A. Price",Draba,subumbellata,,,,,urn:uuid:dbbebfba-9439-41c1-850c-3e8a6bb800d0,"2023-04-11 23:53:42"
3313299,unknown,s.d.,,"Draba californica",1,"(Jeps.) Rollins & R. A. Price",Draba,californica,,,,,urn:uuid:a4e26417-303e-4cd9-a18d-cc224b466730,"2023-04-11 23:53:42"
3472020,unknown,s.d.,,"Orthocarpus pilosus",1,"S. Watson",Orthocarpus,pilosus,,,,,urn:uuid:60b776fb-d79d-4cf1-8efc-56aaa44d74f2,"2023-04-11 23:53:42"
3373974,unknown,s.d.,,"Senecio pattersonensis",1,Hoover,Senecio,pattersonensis,,,,,urn:uuid:cbd2b5e0-c5bc-4f5d-969b-2f725baad932,"2023-04-11 23:53:42"
3528344,unknown,s.d.,,"Artemisia cana subsp. bolanderi",1,"(A. Gray) G. H. Ward",Artemisia,cana,subsp.,bolanderi,,,urn:uuid:8933282a-6d03-4935-94b0-6f9848f8fae0,"2023-04-11 23:53:42"
3532448,unknown,s.d.,,"Astragalus lentiginosus var. semotus",1,Jeps.,Astragalus,lentiginosus,var.,semotus,,,urn:uuid:0ed653c4-1455-4bc4-9795-51fe041ed78f,"2023-04-11 23:53:42"
3466917,unknown,s.d.,,"Mirabilis laevis var. villosa",1,"(Kellogg) Spellenb.",Mirabilis,laevis,var.,villosa,,,urn:uuid:fd9b0fe5-d96c-4c59-8023-22aefe72bb78,"2023-04-11 23:53:42"
3443881,unknown,s.d.,,"Oxytropis deflexa var. sericea",1,"Torr. & A. Gray",Oxytropis,deflexa,var.,sericea,,,urn:uuid:b138039e-3d53-4b08-bbf5-3f7585905178,"2023-04-11 23:53:42"
3398314,unknown,s.d.,,"Draba californica",1,"(Jeps.) Rollins & R. A. Price",Draba,californica,,,,,urn:uuid:f646a900-3f5f-4d07-80b9-41504576cd71,"2023-04-11 23:53:42"
3546030,unknown,s.d.,,"Plagiobothrys kingii var. harknessii",1,"(Greene) Jeps.",Plagiobothrys,kingii,var.,harknessii,,,urn:uuid:578da9b7-76dd-4d26-9457-cde6655c2633,"2023-04-11 23:53:42"
3402929,unknown,s.d.,,"Senecio flaccidus var. monoensis",1,"(Greene) B. L. Turner & T. M. Barkley",Senecio,flaccidus,var.,monoensis,,,urn:uuid:d6236585-c334-4f9d-8d40-4c8273d7a477,"2023-04-11 23:53:42"
3313077,unknown,s.d.,,"Philadelphus microphyllus var. stramineus",1,"(Lindl. ex Rydb.) Henr.",Philadelphus,microphyllus,var.,stramineus,,"Henrickson, University of North Carolina (NCU), 2009 (identification or reidentification)",urn:uuid:acc840c3-b710-47e6-a6a3-8f6d241a43bc,"2023-04-11 23:53:42"
3203520,unknown,s.d.,,"Ericameria nauseosa var. oreophila",1,"(A. Nelson) G. L. Nesom & G. I. Baird",Ericameria,nauseosa,var.,oreophila,,,urn:uuid:b4cf257c-d99d-4fb1-b9f4-9c1a36e9e54c,"2023-04-11 23:53:42"
3216077,unknown,s.d.,,"Lupinus lepidus var. ramosus",1,Jeps.,Lupinus,lepidus,var.,ramosus,,,urn:uuid:2e037b45-56c5-40c5-af5d-b8e8647d7ceb,"2023-04-11 23:53:42"
3216334,unknown,s.d.,,"Hazardia whitneyi var. whitneyi",1,,Hazardia,whitneyi,var.,whitneyi,,,urn:uuid:3781f8dc-441f-4d2b-b092-25bee2b819ea,"2023-04-11 23:53:42"
3472341,unknown,s.d.,,"Antennaria pulchella",1,Greene,Antennaria,pulchella,,,,,urn:uuid:98d85de8-2bf2-41b4-90fd-f76bdd448d7f,"2023-04-11 23:53:42"
3296731,unknown,s.d.,,"Ericameria discoidea",1,"(Nutt.) G. L. Nesom",Ericameria,discoidea,,,,,urn:uuid:1a3ef8bd-8719-4ff8-b4f3-605de4bd8772,"2023-04-11 23:53:42"
3152355,unknown,s.d.,,"Cryptantha pterocarya f. pseudocycloptera",1,"M. E. Mabry & M. G. Simpson",Cryptantha,pterocarya,f.,pseudocycloptera,,"Makenzie E. Mabry & Regina A. Dowdy, San Diego State University Herbarium (SDSU), Dec 30, 2015 (identification or reidentification)",urn:uuid:487306cb-6b4b-497b-8709-9010705f2fd2,"2023-04-11 23:53:42"
3355113,unknown,s.d.,,"Potentilla pseudosericea",1,Rydb.,Potentilla,pseudosericea,,,,,urn:uuid:9c578d11-2374-41c9-8153-aa5feedcabac,"2023-04-11 23:53:42"
3545068,unknown,s.d.,,"Ivesia lycopodioides subsp. scandularis",1,"(Rydb.) D. D. Keck",Ivesia,lycopodioides,subsp.,scandularis,,,urn:uuid:a89b621f-3551-4e6d-90f2-35cec5f0760f,"2023-04-11 23:53:42"
3234797,unknown,s.d.,,"Carex tiogana",1,"D. W. Taylor & J. D. Mastrog.",Carex,tiogana,,,,,urn:uuid:18fe8b37-5192-4ea7-a729-1f8bf969e23b,"2023-04-11 23:53:42"
3425008,unknown,s.d.,,"Eriogonum gracilipes",1,"S. Watson",Eriogonum,gracilipes,,,,,urn:uuid:c5184cd5-d1ff-4bd4-b015-bd6727836cc7,"2023-04-11 23:53:42"
3198450,unknown,s.d.,,"Stipa nevadensis",1,"B. L. Johnson",Stipa,nevadensis,,,,,urn:uuid:a8ca4fcf-16b3-49f5-bbe1-edd76d9ccf62,"2023-04-11 23:53:42"
3566584,unknown,s.d.,,"Eriogonum microthecum var. alpinum",1,Reveal,Eriogonum,microthecum,var.,alpinum,,,urn:uuid:71926a36-feaa-4a30-8b26-cc55568dd429,"2023-04-11 23:53:42"
3418106,unknown,s.d.,,"Sedum pinetorum",1,Brandegee,Sedum,pinetorum,,,,,urn:uuid:ace1d7fd-2337-4763-99d0-b51140d7f63f,"2023-04-11 23:53:42"
3472637,unknown,s.d.,,"Boechera bodiensis",1,"(Rollins) Al-Shehbaz",Boechera,bodiensis,,,,,urn:uuid:e06154d0-0a26-461c-9b81-e39768bf108b,"2023-04-11 23:53:42"
4207179,"Peter F. Zika",2010-00-00,,"Carex orestera",0,,,,,,,,urn:uuid:b00ccae5-4275-4e27-8958-219915939f2f,"2020-12-16 15:59:12"
4207179,"Peter F. Zika",2010-08-11,,"Carex orestera",1,,,,,,,,urn:uuid:62d423f9-b490-4771-acb3-2524c3925e19,"2021-12-01 07:34:31"
4775965,"J.D. Morefield","20 March 2021",,"Erythranthe calcicola",1,"N.S. Fraga & D.A. York",,,,,,,urn:uuid:020dcacb-5447-4c31-a065-310d3f0bdfa9,"2024-10-10 07:55:41"
4775965,Collector,Unknown,,"mimulus montioides",0,"A. Gray",,,,,,,urn:uuid:6fe29167-9261-4826-b60f-1b6a0dc12a6e,"2024-10-10 07:55:41"
5913385,"J.D. Morefield","25 October 2023",,"Potentilla pseudosericea",1,Rydb.,,,,,,"NY sheet det. as P. morefieldii by B. Ertter 2005 (Isoparatype).",urn:uuid:23e61104-7d61-464a-b88c-a42651a0f683,"2024-10-10 07:55:41"
5913385,"J.D. Morefield","28 JUL 1988",,"Potentilla drummondii subsp. bruceae",0,"(Rydb.) D.D. Keck",,,,,,,urn:uuid:e8568435-1e2f-4afa-809c-f98ca67c6a77,"2024-10-10 07:55:41"
5067072,"J.D. Morefield","11 AUG 1985",,"Mentzelia oreophila",0,"J. Darl.",,,,,,,urn:uuid:294ba700-226c-4051-948f-767b794f4f47,"2024-10-10 07:55:41"
5067072,"J.D. Morefield","21 September 2021",,"Mentzelia inyoensis",1,Prigge,,,,,,,urn:uuid:ec508992-9313-4af6-aa59-c2eb2ed78e74,"2024-10-10 07:55:41"
5716295,"J.D. Morefield","15 November 2022",,"Monardella linoides subsp. sierrae",0,"Elvin & A.C. Sanders",,,,,,,urn:uuid:1d22418f-1ced-4fd8-87ff-bc4cd4c5eb66,"2024-10-10 07:55:41"
5716295,synonomy,2024,,"Monardella linoides var. sierrae",1,"(Elvin & A.C. Sanders) Tiehm",,,,,,,urn:uuid:6ee13905-3a0e-4132-8e09-ca9e5c30eda7,"2024-10-10 07:55:41"
5716295,"J.D. Morefield","5 JUN 1986",,"Monardella linoides",0,"A. Gray",,,,,,,urn:uuid:e4e92afd-45fc-4d17-8ef6-4439931e2111,"2024-10-10 07:55:41"
4775499,"J.D. Morefield",2021-01-14,,"Carex orestera",1,Zika,,,,,,,urn:uuid:4d7656a8-981c-4f4a-b4e9-ca3eb2861580,"2024-10-10 07:55:41"
4775499,collector,unknown,,"Carex albonigra",0,Mackenzie,,,,,,,urn:uuid:d430461b-7ca9-433a-a3cf-8cf6aa3ae42e,"2024-10-10 07:55:41"
4776012,"J.D. Morefield","20 March 2021",,"Linanthus bigelovii subsp. johnsonii",0,"J.M. Porter & R. Patt.",,,,,,,urn:uuid:a33509bf-1e31-4ee1-9f56-8cbdb0a80d86,"2024-10-10 07:55:41"
4776012,synonomy,2024,,"Linanthus bigelovii var. johnsonii",1,"(J.M. Porter & R. Patt.) Tiehm",,,,,,,urn:uuid:b7858791-9592-40fc-afab-0a1aab725f09,"2024-10-10 07:55:41"
4775502,"J.D. Morefield",2021-01-14,,"Drymocallis pseudorupestris var. crumiana",1,Ertter,,,,,,"UC duplicate det. B. Ertter 2007.",urn:uuid:3c58c9f0-3319-4e96-96ef-9e96f1f83e9c,"2024-10-10 07:55:41"
4775502,collector,unknown,,"Potentilla glandulosa subsp. pseudorupestris",0,"(Rydb.) D.D. Keck",,,,,,,urn:uuid:3cef36c5-0d95-43b9-8009-470069990134,"2024-10-10 07:55:41"
4685921,unknown,s.d.,,"Mirabilis retrorsa",1,"A.A. Heller",,,,,,,urn:uuid:f9d2f320-5ab6-4073-9c4a-5d1a87e79d78,"2024-10-10 07:55:41"
4775525,"J.D. Morefield",2021-01-21,,"Nemacladus inyoensis",1,"Morin & T.J. Ayers",,,,,,,urn:uuid:43ca5f06-2f0b-4ea7-93cd-10d8498d552b,"2024-10-10 07:55:41"
5888690,"J.D. Morefield","25 September 2023",,"Draba subumbellata",1,"Rollins & R.A. Price",,,,,,,urn:uuid:255529d4-e510-4d3f-b7ff-63a2d7f61949,"2024-10-10 07:55:41"
5888690,"J.D. Morefield","26 JUL 1987",ined.,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:c4059950-c96b-4712-b4f5-8431f437bbac,"2024-10-10 07:55:41"
5716699,"J.D. Morefield","MAY 1984",,"Senecio spartioides var. granularis",1,"Maguire & A. Holmgren ex Cronq.",,,,,,,urn:uuid:7c86e90d-9563-407e-a2b3-563dc355d644,"2024-10-10 07:55:41"
4775662,"J.D. Morefield","16 February 2021",,"Potentilla morefieldii",1,Ertter,,,,,"Brittonia 44: 432-435. 1992","Paratype. From original personal field map: 37.54360°N 118.20427°W WGS84 (±60 m).",urn:uuid:81af8e1b-4d1f-46d4-a122-2f71a87148c7,"2024-10-10 07:55:41"
4775662,"B. Ertter",1991,,"Potentilla morefieldii",0,Ertter,,,,,,,urn:uuid:5ffdb07c-cdad-4433-86d6-398d21ec4f0c,"2024-10-10 07:55:41"
4775662,"J.D. Morefield","JAN 1985",,"Potentilla drummondii subsp. bruceae",0,"(Rydb.) D.D. Keck",,,,,,,urn:uuid:377fb67e-43f2-4836-a1ca-b0c9507f63ef,"2024-10-10 07:55:41"
4775672,"J.D. Morefield","16 February 2021",,"Draba subumbellata",1,"Rollins & R.A. Price",,,,,"Aliso 12: 25-27. 1988","Paratype. From original personal field map: 37.59009°N 118.23770°W WGS84 (±100 m).",urn:uuid:b8ba4eec-db9c-4c59-9ba9-1a16fcb2a3f6,"2024-10-10 07:55:41"
4775672,"R.C. Rollins",1987,,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:1aef6eaf-a3e1-43e6-8fc4-32632aa36a6d,"2024-10-10 07:55:41"
4775672,"J.D. Morefield",2021-02-16,,"Draba subumbellata",0,"Rollins & R.A. Price",,,,,,,urn:uuid:adf3e473-a1ef-4726-82a8-3212c6d825d7,"2024-10-10 07:55:41"
4775672,"J.D. Morefield","JAN 1985",,"Draba sierrae",0,"C.W. Sharsmith",,,,,,(?),urn:uuid:ee0c87bf-096d-4563-8b5c-ea9465d16c35,"2024-10-10 07:55:41"
4867498,unknown,s.d.,,"Carex orestera",1,Zika,Carex,orestera,,,,,urn:uuid:8d6c16fd-c224-462b-a2e8-a1edb50b6ef9,"2023-04-11 23:53:42"
